기준년월,내판매순위,코드,명,매장코드,매장명,판매상품SEQ,판매상품명
202010,5,S000108,군산(목포),1,010_편의점,1200003796,황룡당만주 
202010,1,S000110,고창고인돌(목포),2,한양식전문점,1100023412,돌솥비빔밥(8000)
202010,2,S000110,고창고인돌(목포),68,드롭탑,1100026093,아메리카노/드롭탑
202010,3,S000110,고창고인돌(목포),52,의류매장,1300000815,의류(전문매장) 의류(전문매장)
202010,4,S000110,고창고인돌(목포),2,한양식전문점,1100024627,김치두부찌개(8000)
202010,5,S000110,고창고인돌(목포),9,호떡오징어매장,1100026712,소떡소떡(신)
202010,1,S000112,고창고인돌(서울),48,드롭탑,1100026093,아메리카노/드롭탑
202010,2,S000112,고창고인돌(서울),48,드롭탑,1100027285,아메리카노(L)
202010,3,S000112,고창고인돌(서울),2,한식전문점,1100027322,해물순두부(한식)
202010,4,S000112,고창고인돌(서울),2,한식전문점,1100017663,돌솥비빔밥
202010,5,S000112,고창고인돌(서울),16,커피전문점,1100023734,아이스(아메리카노티)
202010,1,S000115,함평천지(서울),97,032_탐앤탐스,1100023859,탐)아이스카페아메리카노
202010,2,S000115,함평천지(서울),22,022_그린웰,1100027180,소고기장터국밥
202010,3,S000115,함평천지(서울),97,032_탐앤탐스,1100023881,탐)카페아메리카노
202010,4,S000115,함평천지(서울),22,022_그린웰,1100030570,옛날돼지고기김치찌개
202010,5,S000115,함평천지(서울),22,022_그린웰,1100030574,한우소머리곰탕
202010,1,S000117,함평천지(목포),1,함A-01한식양식(무진),1100030549,바우네맑은나주곰탕
202010,2,S000117,함평천지(목포),3,함B-1옥외매장,1100026927,소떡소떡
202010,3,S000117,함평천지(목포),24,로띠번,1100029975,아메리카노
202010,4,S000117,함평천지(목포),6,함C-01하이샵,1300001378,하이숍(잡화10000) 하이숍(잡화10000)
202010,5,S000117,함평천지(목포),24,로띠번,1100023735,아메리카노(I)
202010,1,S000122,정읍녹두장군(천안),54,탐앤탐스,1100023859,ic아메리카노4100원
202010,2,S000122,정읍녹두장군(천안),54,탐앤탐스,1100023881,H카페아메리카노4100원 
202010,3,S000122,정읍녹두장군(천안),4,한식,1100024955,제육덮밥8500원
202010,4,S000122,정읍녹두장군(천안),12,토스트/스넥,1100003056,[푸드]알프스소세지
202010,5,S000122,정읍녹두장군(천안),55,호두과자,1100006261,호도과자[5000] 
202010,1,S000123,정읍녹두장군(순천),66,[커피]탐앤탐스,1100023859,[탐I]아메리카노ICE티(4100) 
202010,2,S000123,정읍녹두장군(순천),67,[의류]파사디,1300009390,파사디100000
202010,3,S000123,정읍녹두장군(순천),66,[커피]탐앤탐스,1100023881,[탐H]아메리카노(4100)
202010,4,S000123,정읍녹두장군(순천),11,[가판]호두델리,1100006292,[호두]5000호두과자 
202010,5,S000123,정읍녹두장군(순천),8,[식당가]한식,1100033339,[한식]해물순두부찌개(표준)
202010,1,S000126,백양사(천안),40,탐앤탐스,1100023859,아이스카페아메리카노 
202010,2,S000126,백양사(천안),33,한식코너,1100022182,삼채애호박찌개(신)
202010,3,S000126,백양사(천안),40,탐앤탐스,1100023881,카페아메리카노 
202010,4,S000126,백양사(천안),52,드롭탑,1100017900,아이스아메리카노
202010,5,S000126,백양사(천안),33,한식코너,1100033286,삼채비빕밥(표준레시피)
202010,1,S000130,곡성(천안),9,080_가판(호도),1100026712,소떡소떡(신)
202010,2,S000130,곡성(천안),12,130_커피2(엔제리너스),1100017417,아이스 아메리카노
202010,3,S000130,곡성(천안),51,임실치즈,1100023730,구워먹는 치즈
202010,4,S000130,곡성(천안),12,130_커피2(엔제리너스),1100017416,핫 아메리카노
202010,5,S000130,곡성(천안),2,020_한식당,1100021835,제육덮밥
202010,1,S000131,곡성(순천),41,탐앤탐스(직영),1100023859,아이스카페아메리카노
202010,2,S000131,곡성(순천),25,001_한식코너,1100018409,흑돼지김치찌개 
202010,3,S000131,곡성(순천),41,탐앤탐스(직영),1100023881,카페아메리카노
202010,4,S000131,곡성(순천),39,열린매장(직영),1100006235,호도과자 
202010,5,S000131,곡성(순천),36,열린매장2(직영),1100026712,소떡소떡(신)
202010,1,S000141,이천(하남),10,호두과자,1100021354,우리밀천안호두과자(5000) 
202010,2,S000141,이천(하남),10,호두과자,1100021355,우리밀천안호두과자(10000)
202010,3,S000141,이천(하남),10,호두과자,1100017781,우리밀천안호도과자(3000) 
202010,4,S000141,이천(하남),6,소시지,1100026927,소떡소떡
202010,5,S000141,이천(하남),6,소시지,1100026924,부산오뎅(3000)
202010,1,S000144,이천(남이),75,카페드롭탑,1100026110,ICE아메리카노/드롭탑
202010,2,S000144,이천(남이),75,카페드롭탑,1100026093,아메리카노/드롭탑
202010,3,S000144,이천(남이),41,델리쉐프(1),1100026927,소떡소떡
202010,4,S000144,이천(남이),60,한식매장,1100033291,해물순두부(표준레시피)
202010,5,S000144,이천(남이),60,한식매장,1100033298,비빔밥(표준레시피)
202010,1,S000145,음성(하남),44,(신)호두과자/오징어,1100006284,10000호두과자 
202010,2,S000145,음성(하남),41,(신)엔제리너스,1100019660,아메리카노(I) 
202010,3,S000145,음성(하남),44,(신)호두과자/오징어,1100006261,즉석호도과자 
202010,4,S000145,음성(하남),42,(신)간식(중앙),1100028770,떡햄바
202010,5,S000145,음성(하남),41,(신)엔제리너스,1100019637,아메리카노(H) 
202010,1,S000146,음성(남이),37,(신)탐앤탐스,1100023881,카페아메리카노 
202010,2,S000146,음성(남이),37,(신)탐앤탐스,1100023859,아이스카페아메리카노 
202010,3,S000146,음성(남이),52,(신)양식전문점,1100033403,수제돈가스(표준레시피)
202010,4,S000146,음성(남이),51,(신)한식전문점,1100032582,동의)김치사골국밥
202010,5,S000146,음성(남이),41,(신)호두과자/오징어,1100006261,즉석호도과자 
202010,1,S000149,오창(하남),59,소미미,1300012226,소미미2500빵
202010,2,S000149,오창(하남),5,라면/김밥,1100023616,충무김밥
202010,3,S000149,오창(하남),59,소미미,1100016935,소미미2000빵
202010,4,S000149,오창(하남),43,양식당,1100030442,⑨등심돈가스
202010,5,S000149,오창(하남),5,라면/김밥,1100023657,떡만두라면정식
202010,1,S000153,금산인삼랜드(대전),111,인삼반상(18.12.1직영),1100024320,31.인삼갈비탕[10000]한식
202010,2,S000153,금산인삼랜드(대전),42,호도과자1,1100006292,5000호두과자 
202010,3,S000153,금산인삼랜드(대전),42,호도과자1,1100006285,3000호두과자 
202010,4,S000153,금산인삼랜드(대전),132,핫바(12월직영),1100020778,소떡소떡[3500]핫바
202010,5,S000153,금산인삼랜드(대전),111,인삼반상(18.12.1직영),1100033360,해물순두부(표준레시피)
202010,1,S000154,금산인삼랜드(통영),15,400_휴대폰충전기,1500000375,전자카드충전(10000)
202010,2,S000154,금산인삼랜드(통영),6,100_한식당1,1100033292,흑돼지김치찌개_표준레시피
202010,3,S000154,금산인삼랜드(통영),41,510_호도과자,1100017581,참호두과자(3000) 
202010,4,S000154,금산인삼랜드(통영),37,560_소떡소떡,1100026927,소떡소떡
202010,5,S000154,금산인삼랜드(통영),3,450_옥외가판(커피),1100019637,아메리카노(H)
202010,1,S000157,덕유산(대전),29,팬텀(의류),1300000298,팬텀의류(10000)
202010,2,S000157,덕유산(대전),29,팬텀(의류),1300000815,팬텀의류(100000)
202010,3,S000157,덕유산(대전),54,탐엔탐스,1100023881,(탐탐)카페아메리카노4.1(연동)
202010,4,S000157,덕유산(대전),116,링스,1300002109,의류100000
202010,5,S000157,덕유산(대전),116,링스,1300002008,의류10000
202010,1,S000158,덕유산(통영),37,팬텀,1300007637,4의류 100000(팬텀)(신)
202010,2,S000158,덕유산(통영),119,덕유반상,1100032910,한우국밥
202010,3,S000158,덕유산(통영),37,팬텀,1200012835,3의류 10000(팬텀)(신)
202010,4,S000158,덕유산(통영),10,링스,1300000816,링스(100000)
202010,5,S000158,덕유산(통영),62,탐앤탐스,1100023881,핫아메리카노(새미래)41
202010,1,S000165,산청(대전),26,탐앤탐스,1100023881,카페아메리카노 
202010,2,S000165,산청(대전),26,탐앤탐스,1100023859,아이스카페아메리카노 
202010,3,S000165,산청(대전),3,즉석,1100006291,호두과자(3000)
202010,4,S000165,산청(대전),2,한식당,1100028268,7.순두부찌개
202010,5,S000165,산청(대전),34,델리시아,1100030195,소떡소떡(4000)
202010,1,S000166,산청(통영),28,탐앤탐스,1100019660,아이스아메리카노(I) 
202010,2,S000166,산청(통영),28,탐앤탐스,1100023881,카페아메리카노 
202010,3,S000166,산청(통영),34,델리시아,1100030195,소떡
