노선번호,도로명,이정,X좌표값,Y좌표값,GRS80X좌표값,GRS80Y좌표값
500,영동선,153.5,37.4657019,128.1445553,301255.8464,541312.7362
500,영동선,153.6,37.46610929,128.1455631,301344.4578,541359.037
500,영동선,153.7,37.46655536,128.1465445,301430.681,541409.604
500,영동선,153.8,37.46704751,128.1474907,301513.7221,541465.2484
500,영동선,153.9,37.4675874,128.1483949,301592.9874,541526.1466
500,영동선,154,37.46816433,128.1492626,301668.9759,541591.1185
500,영동선,154.1,37.46877953,128.1500881,301741.1685,541660.2922
500,영동선,154.2,37.46943086,128.1508685,301809.3218,541733.4279
500,영동선,154.3,37.47011996,128.1515963,301872.7711,541810.6997
500,영동선,154.4,37.4708382,128.1522783,301932.1287,541891.1575
500,영동선,154.5,37.47158603,128.1529082,301986.8364,541974.8428
500,영동선,154.6,37.47235983,128.1534867,302036.9597,542061.3558
500,영동선,154.7,37.47315307,128.1540224,302083.2716,542149.9797
500,영동선,154.8,37.47394872,128.1545525,302129.0839,542238.8657
500,영동선,154.9,37.47473002,128.1551145,302177.7409,542326.1934
500,영동선,155,37.47547143,128.155756,302233.4736,542409.1809
500,영동선,155.1,37.47616405,128.1564781,302296.4061,542486.8409
500,영동선,155.2,37.4768114,128.1572639,302365.031,542559.5458
500,영동선,155.3,37.47743857,128.1580753,302435.9543,542630.04
500,영동선,155.4,37.47806735,128.1588849,302506.7041,542700.7105
500,영동선,155.5,37.47869253,128.1596987,302577.8387,542770.9877
500,영동선,155.6,37.47932685,128.1605014,302647.9723,542842.2668
500,영동선,155.7,37.47994367,128.1613248,302719.9582,542911.6274
500,영동선,155.8,37.48052239,128.1621905,302795.7452,542976.8064
500,영동선,155.9,37.48102033,128.1631318,302878.3211,543033.1027
500,영동선,156,37.48143201,128.1641366,302966.6305,543079.8938
500,영동선,156.1,37.4817534,128.165192,303059.5468,543116.7213
500,영동선,156.2,37.48198454,128.1662843,303155.8385,543143.5722
500,영동선,156.3,37.48216638,128.1673913,303253.5063,543164.9689
